Commit,LOC,LCOM,CBO,WMC
0.0,5758.43,3848.06,532.08,1123.16
0.05,5793.45,3871.89,535.27,1129.94
0.07,5829.77,3893.37,538.59,1137.49
0.1,5883.48,3930.23,543.53,1148.04
0.11,5950.54,3977.64,549.93,1161.08
0.13,6045.08,4042.6,558.56,1179.64
0.14,6097.61,4075.56,563.37,1189.88
0.15,6155.7,4115.77,568.6,1201.15
0.17,6187.16,4142.38,571.48,1207.71
0.17,6275.36,4202.93,579.51,1224.15
0.17,6280.19,4236.79,574.34,1226.83
0.18,6302.87,4238.43,577.1,1231.84
0.19,6302.87,4238.43,577.1,1231.84
0.19,6404.23,4307.29,586.38,1251.19
0.2,6482.08,4366.96,593.7,1267.33
0.21,6494.8,4381.17,594.07,1269.93
0.21,6563.76,4426.12,600.39,1283.61
0.22,6596.73,4464.89,603.12,1290.97
0.21,6695.63,4534.15,611.92,1310.44
0.21,6786.5,4617.68,620.35,1330.84
0.21,6860.19,4669.17,626.58,1345.03
0.22,6860.19,4669.17,626.58,1345.03
0.23,6860.19,4669.17,626.58,1345.03
0.23,6902.51,4698.19,630.3,1353.36
0.24,6897.07,4693.49,629.08,1352.46
0.25,6897.07,4693.49,629.08,1352.46
0.26,6897.07,4693.49,629.08,1352.46
0.26,6943.01,4728.55,632.76,1360.53
0.27,6998.59,4767.11,637.71,1371.47
0.28,6998.59,4767.11,637.71,1371.47
0.28,6998.59,4767.11,637.71,1371.47
0.29,7025.84,4782.43,640.25,1376.72
0.3,7025.84,4782.43,640.25,1376.72
0.3,7038.09,4780.57,643.07,1380.14
0.3,7102.2,4830.91,648.56,1392.73
0.3,7151.0,4883.8,653.99,1401.81
0.31,7203.63,4924.29,658.45,1412.26
0.31,7278.75,4980.88,665.64,1427.55
0.31,7337.41,5022.79,670.97,1439.16
0.32,7337.41,5022.79,670.97,1439.16
0.32,7389.99,5062.59,675.52,1449.55
0.32,7468.43,5122.51,682.5,1464.37
0.32,7468.43,5122.51,682.5,1464.37
0.33,7511.93,5162.72,687.64,1474.73
0.32,7632.94,5253.35,698.09,1498.2
0.32,7655.32,5263.73,701.43,1500.07
0.33,7686.99,5287.87,704.44,1506.47
0.33,7751.94,5335.77,709.98,1519.2
0.33,7821.79,5386.04,716.04,1532.88
0.33,7840.58,5406.39,717.83,1537.37
0.33,7874.96,5430.67,720.9,1544.13
0.34,7812.21,5386.25,718.19,1536.48
0.34,7812.21,5386.25,718.19,1536.48
0.35,7812.21,5386.25,718.19,1536.48
0.35,7846.63,5411.83,721.26,1543.32
0.35,7903.5,5454.55,726.7,1554.16
0.36,7903.5,5454.55,726.7,1554.16
0.36,7978.35,5508.04,733.46,1568.8
0.36,8025.43,5548.37,737.0,1577.48
0.37,8025.43,5548.37,737.0,1577.48
0.37,7990.9,5552.95,742.1,1581.76
0.36,8037.86,5588.98,747.09,1588.94
0.37,8077.46,5617.47,750.65,1596.83
0.37,8118.1,5645.38,754.41,1604.66
0.38,8118.1,5645.38,754.41,1604.66
0.37,8227.73,5726.5,764.42,1626.64
0.37,8307.64,5783.88,772.02,1642.43
0.37,8346.14,5813.44,775.17,1650.06
0.38,8381.93,5842.31,778.92,1657.24
0.38,8423.59,5872.82,782.76,1665.51
0.37,8524.4,5957.13,790.39,1685.27
0.37,8611.77,6021.59,798.26,1702.65
0.37,8673.69,6055.75,802.73,1713.68
0.37,8673.69,6055.75,802.73,1713.68
0.37,8857.84,6189.3,819.36,1749.86
0.36,8982.28,6288.03,829.23,1774.24
0.36,9084.97,6360.06,838.65,1794.47
0.36,9084.97,6360.06,838.65,1794.47
0.37,9084.97,6360.06,838.65,1794.47
0.36,9182.97,6434.17,847.3,1814.15
0.36,9233.18,6471.11,851.81,1824.1
0.36,9285.69,6509.81,856.66,1834.59
0.37,9285.69,6509.81,856.66,1834.59
0.37,9285.69,6509.81,856.66,1834.59
0.38,9285.69,6509.81,856.66,1834.59
0.38,9285.69,6509.81,856.66,1834.59
0.39,9285.69,6509.81,856.66,1834.59
0.39,9340.07,6548.99,861.7,1845.44
0.39,9340.07,6548.99,861.7,1845.44
0.39,9083.68,6434.35,866.72,1832.93
0.39,9124.33,6462.13,871.15,1840.91
