Commit,Decor_Spaghetti_Code,Decor_Large_Class,Decor_Complex_Class
0.0,1.11,1.49,0.25
0.05,1.12,1.5,0.25
0.07,1.13,1.51,0.25
0.1,1.14,1.53,0.25
0.11,1.15,1.55,0.26
0.13,1.17,1.57,0.26
0.14,1.19,1.59,0.26
0.15,1.2,1.6,0.27
0.17,1.21,1.61,0.27
0.17,1.23,1.64,0.27
0.17,1.24,1.66,0.28
0.18,1.24,1.67,0.28
0.19,1.24,1.67,0.28
0.19,1.27,1.7,0.29
0.2,1.29,1.72,0.29
0.21,1.29,1.73,0.29
0.21,1.3,1.75,0.29
0.22,1.31,1.75,0.3
0.21,1.33,1.78,0.3
0.21,1.35,1.81,0.31
0.21,1.37,1.83,0.31
0.22,1.37,1.83,0.31
0.23,1.37,1.83,0.31
0.23,1.37,1.84,0.31
0.24,1.38,1.84,0.32
0.25,1.38,1.84,0.32
0.26,1.38,1.84,0.32
0.26,1.39,1.85,0.32
0.27,1.4,1.87,0.32
0.28,1.4,1.87,0.32
0.28,1.4,1.87,0.32
0.29,1.41,1.88,0.32
0.3,1.41,1.88,0.32
0.3,1.4,1.86,0.32
0.3,1.41,1.88,0.33
0.3,1.42,1.9,0.33
0.31,1.44,1.91,0.33
0.31,1.45,1.93,0.34
0.31,1.46,1.95,0.34
0.32,1.46,1.95,0.34
0.32,1.48,1.96,0.34
0.32,1.5,1.98,0.35
0.32,1.5,1.98,0.35
0.33,1.5,1.98,0.35
0.32,1.53,2.02,0.36
0.32,1.54,2.03,0.36
0.33,1.55,2.04,0.36
0.33,1.56,2.06,0.37
0.33,1.58,2.08,0.37
0.33,1.59,2.09,0.37
0.33,1.59,2.1,0.37
0.34,1.56,2.05,0.37
0.34,1.56,2.05,0.37
0.35,1.56,2.05,0.37
0.35,1.57,2.06,0.37
0.35,1.59,2.08,0.37
0.36,1.59,2.08,0.37
0.36,1.6,2.1,0.37
0.36,1.62,2.12,0.38
0.37,1.62,2.12,0.38
0.37,1.59,2.11,0.38
0.36,1.59,2.11,0.38
0.37,1.6,2.12,0.38
0.37,1.61,2.13,0.38
0.38,1.61,2.13,0.38
0.37,1.64,2.16,0.39
0.37,1.65,2.18,0.39
0.37,1.66,2.2,0.39
0.38,1.67,2.21,0.39
0.38,1.68,2.22,0.4
0.37,1.7,2.25,0.4
0.37,1.72,2.27,0.41
0.37,1.73,2.29,0.41
0.37,1.73,2.29,0.41
0.37,1.77,2.34,0.42
0.36,1.8,2.38,0.43
0.36,1.82,2.41,0.43
0.36,1.82,2.41,0.43
0.37,1.82,2.41,0.43
0.36,1.85,2.44,0.44
0.36,1.86,2.45,0.44
0.36,1.87,2.47,0.44
0.37,1.87,2.47,0.44
0.37,1.87,2.47,0.44
0.38,1.87,2.47,0.44
0.38,1.87,2.47,0.44
0.39,1.87,2.47,0.44
0.39,1.88,2.48,0.45
0.39,1.88,2.48,0.45
0.39,1.76,2.35,0.41
0.39,1.77,2.36,0.42
0.39,1.77,2.36,0.42
0.39,1.77,2.35,0.42
0.39,1.79,2.38,0.42
0.39,1.8,2.4,0.43
0.4,1.8,2.4,0.43
0.39,1.82,2.43,0.43
0.38,1.86,2.47,0.44
0.38,1.87,2.49,0.44
0.38,1.88,2.5,0.45
0.38,1.89,2.52,0.45
0.38,1.91,2.54,0.46
0.38,1.91,2.54,0.46
0.38,1.92,2.56,0.46
0.39,1.92,2.56,0.46
0.39,1.93,2.58,0.46
0.39,1.93,2.58,0.46
0.39,1.93,2.58,0.46
0.4,1.93,2.58,0.46
0.4,1.93,2.58,0.46
0.4,1.94,2.59,0.46
0.4,1.94,2.59,0.46
0.4,1.95,2.6,0.47
0.4,1.97,2.62,0.47
0.39,1.99,2.65,0.48
0.4,1.99,2.65,0.48
0.4,1.99,2.66,0.47
0.4,1.99,2.66,0.47
0.4,1.96,2.6,0.46
0.4,1.97,2.62,0.46
0.4,1.97,2.62,0.46
0.4,1.99,2.64,0.47
0.4,1.99,2.64,0.47
0.4,2.0,2.65,0.47
0.4,2.03,2.69,0.48
0.4,2.03,2.69,0.48
0.4,2.03,2.69,0.48
0.4,2.05,2.71,0.48
0.4,2.05,2.71,0.48
0.4,2.05,2.73,0.48
0.41,2.05,2.73,0.48
0.4,2.07,2.75,0.49
0.4,2.08,2.77,0.49
0.4,2.1,2.79,0.5
0.4,2.1,2.79,0.5
0.4,2.12,2.81,0.5
0.4,2.13,2.83,0.5
0.4,2.13,2.83,0.51
0.4,2.15,2.85,0.51
0.4,2.15,2.85,0.51
0.4,2.15,2.85,0.51
0.4,2.17,2.87,0.52
0.4,2.17,2.87,0.52
0.41,2.17,2.87,0.52
0.41,2.17,2.87,0.52
0.41,2.19,2.89,0.52
0.4,2.2,2.92,0.52
0.4,2.23,2.96,0.53
0.39,2.27,3.01,0.54
0.39,2.27,3.01,0.54
0.4,2.27,3.01,0.54
0.4,2.27,3.01,0.54
0.4,2.27,3.01,0.54
0.4,2.29,3.03,0.55
0.4,2.31,3.06,0.55
0.39,2.33,3.09,0.56
0.4,2.33,3.09,0.56
0.39,2.33,3.1,0.56
0.39,2.31,3.07,0.57
0.39,2.31,3.07,0.57
0.39,2.31,3.07,0.57
0.4,2.31,3.07,0.57
0.4,2.31,3.07,0.57
0.4,2.31,3.08,0.56
0.39,2.32,3.1,0.57
0.39,2.35,3.13,0.57
0.39,2.37,3.16,0.58
0.39,2.37,3.16,0.58
0.39,2.37,3.16,0.58
0.38,2.41,3.2,0.59
0.39,2.41,3.2,0.59
0.39,2.41,3.2,0.59
0.38,2.43,3.23,0.59
0.38,2.45,3.24,0.6
0.38,2.45,3.25,0.6
0.38,2.45,3.25,0.6
0.38,2.45,3.25,0.6
0.38,2.45,3.25,0.6
0.39,2.45,3.25,0.6
0.39,2.45,3.25,0.6
0.39,2.45,3.25,0.6
0.39,2.45,3.25,0.6
0.39,2.45,3.25,0.6
0.39,2.47,3.27,0.6
0.39,2.47,3.27,0.6
0.39,2.47,3.27,0.6
0.39,2.49,3.3,0.61
0.39,2.49,3.3,0.61
0.39,2.49,3.3,0.61
0.39,2.42,3.27,0.6
0.38,2.44,3.28,0.62
0.38,2.44,3.28,0.62
0.38,2.44,3.28,0.62
0.38,2.47,3.3,0.62
0.38,2.47,3.3,0.62
0.38,2.47,3.3,0.62
0.39,2.47,3.3,0.62
0.39,2.47,3.3,0.62
0.39,2.47,3.3,0.62
0.39,2.45,3.29,0.61
0.39,2.45,3.29,0.61
0.38,2.48,3.31,0.61
0.38,2.48,3.31,0.61
0.39,2.48,3.31,0.61
0.39,2.48,3.31,0.61
0.38,2.51,3.35,0.62
0.39,2.51,3.35,0.62
0.39,2.51,3.35,0.62
0.39,2.51,3.35,0.62
0.39,2.51,3.35,0.62
0.39,2.51,3.35,0.62
0.4,2.51,3.35,0.62
0.4,2.51,3.35,0.62
0.4,2.51,3.35,0.62
0.4,2.51,3.35,0.62
0.4,2.51,3.35,0.62
0.4,2.53,3.38,0.63
0.39,2.53,3.39,0.61
0.39,2.53,3.38,0.62
0.39,2.53,3.38,0.62
0.39,2.53,3.38,0.62
0.39,2.53,3.38,0.62
0.4,2.53,3.38,0.62
0.4,2.53,3.38,0.62
0.39,2.55,3.41,0.63
0.39,2.55,3.41,0.63
0.4,2.55,3.41,0.63
0.4,2.55,3.41,0.63
0.39,2.57,3.43,0.63
0.39,2.57,3.43,0.63
0.4,2.57,3.43,0.63
0.4,2.57,3.43,0.63
0.4,2.57,3.43,0.63
0.4,2.57,3.43,0.63
0.4,2.57,3.43,0.63
0.41,2.57,3.43,0.63
0.4,2.6,3.47,0.64
0.4,2.6,3.47,0.64
0.4,2.6,3.47,0.64
0.41,2.6,3.47,0.64
0.41,2.6,3.47,0.64
0.41,2.6,3.47,0.64
0.4,2.61,3.5,0.64
0.41,2.61,3.5,0.64
0.41,2.61,3.5,0.64
0.41,2.61,3.5,0.64
0.4,2.63,3.53,0.64
0.41,2.63,3.53,0.64
0.41,2.63,3.53,0.64
0.4,2.66,3.57,0.65
0.4,2.66,3.57,0.65
0.4,2.66,3.57,0.65
0.41,2.66,3.57,0.65
0.41,2.66,3.57,0.65
0.4,2.69,3.6,0.66
0.4,2.69,3.6,0.66
0.41,2.69,3.6,0.66
0.41,2.69,3.6,0.66
0.4,2.69,3.61,0.67
0.4,2.69,3.61,0.67
0.41,2.69,3.61,0.67
0.41,2.69,3.61,0.67
0.41,2.69,3.61,0.67
0.41,2.69,3.61,0.67
0.4,2.76,3.7,0.68
0.4,2.76,3.7,0.68
0.4,2.76,3.7,0.68
0.4,2.76,3.7,0.68
0.4,2.76,3.7,0.68
0.4,2.76,3.7,0.68
0.41,2.76,3.7,0.68
0.41,2.76,3.7,0.68
0.4,2.77,3.72,0.67
0.4,2.77,3.72,0.67
0.4,2.8,3.76,0.68
0.4,2.8,3.76,0.68
0.4,2.8,3.76,0.68
0.4,2.8,3.76,0.68
0.4,2.8,3.76,0.68
0.4,2.8,3.76,0.68
0.41,2.8,3.76,0.68
0.41,2.8,3.76,0.68
0.41,2.8,3.76,0.68
0.41,2.8,3.76,0.68
0.41,2.8,3.76,0.68
0.41,2.8,3.76,0.68
0.41,2.8,3.76,0.68
0.42,2.8,3.76,0.68
0.41,2.82,3.8,0.68
0.41,2.82,3.8,0.68
0.41,2.82,3.8,0.68
0.41,2.82,3.8,0.68
0.42,2.82,3.8,0.68
0.42,2.82,3.8,0.68
0.42,2.82,3.8,0.68
0.42,2.82,3.8,0.68
0.42,2.82,3.8,0.68
0.42,2.82,3.8,0.68
0.42,2.82,3.8,0.68
0.43,2.82,3.8,0.68
0.42,2.78,3.72,0.65
0.42,2.78,3.72,0.65
0.42,2.78,3.72,0.65
0.42,2.78,3.72,0.65
0.43,2.78,3.72,0.65
0.43,2.78,3.72,0.65
0.43,2.78,3.72,0.65
0.43,2.78,3.72,0.65
0.43,2.78,3.72,0.65
0.43,2.82,3.77,0.66
0.43,2.82,3.77,0.66
0.42,2.86,3.82,0.67
0.42,2.86,3.82,0.67
0.42,2.86,3.82,0.67
0.42,2.86,3.82,0.67
0.43,2.86,3.82,0.67
0.43,2.86,3.82,0.67
0.43,2.86,3.82,0.67
0.43,2.86,3.82,0.67
0.42,2.88,3.85,0.68
0.42,2.88,3.85,0.68
0.43,2.88,3.85,0.68
0.43,2.88,3.85,0.68
0.43,2.88,3.85,0.68
0.43,2.88,3.85,0.68
0.43,2.88,3.85,0.68
0.43,2.88,3.85,0.68
0.43,2.88,3.85,0.68
0.44,2.88,3.85,0.68
0.44,2.88,3.85,0.68
0.44,2.88,3.85,0.68
0.43,2.92,3.91,0.69
0.42,2.96,3.96,0.7
0.43,2.96,3.96,0.7
0.43,2.96,3.96,0.7
0.43,2.96,3.96,0.7
0.43,2.96,3.96,0.7
0.42,3.0,4.01,0.71
0.42,3.0,4.01,0.71
0.43,3.0,4.01,0.71
0.43,3.0,4.01,0.71
0.43,3.0,4.01,0.71
0.43,3.0,4.01,0.71
0.43,3.0,4.01,0.71
0.43,3.0,4.01,0.71
0.43,3.0,4.01,0.71
0.43,3.0,4.01,0.71
0.44,3.0,4.01,0.71
0.44,3.0,4.01,0.71
0.44,3.0,4.01,0.71
0.44,3.0,4.01,0.71
0.44,3.0,4.01,0.71
0.44,3.0,4.01,0.71
0.44,3.0,4.01,0.71
0.44,3.03,4.06,0.72
0.44,3.03,4.06,0.72
0.44,3.03,4.06,0.72
0.43,3.03,4.06,0.73
0.43,3.03,4.06,0.73
