Commit,Decor_Feature_Envy,Decor_long_Method
0.0,2.48,0.88
0.05,2.5,0.88
0.07,2.51,0.88
0.1,2.54,0.89
0.11,2.57,0.9
0.13,2.61,0.92
0.14,2.64,0.93
0.15,2.66,0.94
0.17,2.67,0.94
0.17,2.71,0.96
0.17,2.72,0.98
0.18,2.75,0.99
0.19,2.75,0.99
0.19,2.79,1.01
0.2,2.82,1.02
0.21,2.83,1.03
0.21,2.86,1.04
0.22,2.83,1.03
0.21,2.88,1.05
0.21,2.93,1.07
0.21,2.96,1.09
0.22,2.96,1.09
0.23,2.96,1.09
0.23,2.98,1.1
0.24,2.99,1.1
0.25,2.99,1.1
0.26,2.99,1.1
0.26,3.01,1.11
0.27,3.02,1.12
0.28,3.02,1.12
0.28,3.02,1.12
0.29,3.03,1.13
0.3,3.03,1.13
0.3,3.06,1.13
0.3,3.09,1.14
0.3,3.1,1.16
0.31,3.12,1.17
0.31,3.16,1.18
0.31,3.18,1.19
0.32,3.18,1.19
0.32,3.2,1.19
0.32,3.24,1.2
0.32,3.24,1.2
0.33,3.27,1.21
0.32,3.33,1.23
0.32,3.34,1.24
0.33,3.36,1.25
0.33,3.39,1.26
0.33,3.42,1.27
0.33,3.43,1.26
0.33,3.44,1.27
0.34,3.45,1.24
0.34,3.45,1.24
0.35,3.45,1.24
0.35,3.45,1.24
0.35,3.45,1.25
0.36,3.45,1.25
0.36,3.48,1.27
0.36,3.5,1.28
0.37,3.5,1.28
0.37,3.53,1.29
0.36,3.57,1.29
0.37,3.58,1.3
0.37,3.6,1.31
0.38,3.6,1.31
0.37,3.65,1.33
0.37,3.68,1.34
0.37,3.69,1.35
0.38,3.71,1.36
0.38,3.73,1.35
0.37,3.76,1.38
0.37,3.79,1.39
0.37,3.79,1.41
0.37,3.79,1.41
0.37,3.88,1.44
0.36,3.95,1.46
0.36,3.98,1.47
0.36,3.98,1.47
0.37,3.98,1.47
0.36,4.01,1.49
0.36,4.04,1.5
0.36,4.06,1.51
0.37,4.06,1.51
0.37,4.06,1.51
0.38,4.06,1.51
0.38,4.06,1.51
0.39,4.06,1.51
0.39,4.08,1.52
0.39,4.08,1.52
0.39,4.13,1.2
0.39,4.16,1.2
0.39,4.16,1.2
0.39,4.19,1.2
0.39,4.24,1.22
0.39,4.26,1.23
0.4,4.26,1.23
0.39,4.29,1.24
0.38,4.36,1.27
0.38,4.39,1.27
0.38,4.42,1.28
0.38,4.45,1.29
0.38,4.5,1.3
0.38,4.5,1.3
0.38,4.53,1.31
0.39,4.53,1.31
0.39,4.56,1.31
0.39,4.56,1.31
0.39,4.56,1.31
0.4,4.56,1.31
0.4,4.56,1.31
0.4,4.61,1.29
0.4,4.61,1.29
0.4,4.63,1.29
0.4,4.66,1.3
0.39,4.73,1.32
0.4,4.73,1.32
0.4,4.74,1.32
0.4,4.74,1.32
0.4,4.65,1.31
0.4,4.69,1.32
0.4,4.69,1.32
0.4,4.72,1.33
0.4,4.72,1.33
0.4,4.75,1.34
0.4,4.81,1.36
0.4,4.81,1.36
0.4,4.81,1.36
0.4,4.85,1.37
0.4,4.85,1.37
0.4,4.86,1.37
0.41,4.86,1.37
0.4,4.89,1.38
0.4,4.92,1.39
0.4,4.95,1.4
0.4,4.95,1.4
0.4,4.98,1.41
0.4,5.02,1.43
0.4,5.06,1.44
0.4,5.1,1.45
0.4,5.1,1.45
0.4,5.1,1.45
0.4,5.14,1.46
0.4,5.14,1.46
0.41,5.14,1.46
0.41,5.14,1.46
0.41,5.14,1.47
0.4,5.18,1.48
0.4,5.27,1.51
0.39,5.36,1.53
0.39,5.36,1.53
0.4,5.36,1.53
0.4,5.36,1.53
0.4,5.36,1.53
0.4,5.39,1.55
0.4,5.44,1.56
0.39,5.47,1.57
0.4,5.47,1.57
0.39,5.51,1.59
0.39,5.56,1.58
0.39,5.56,1.58
0.39,5.56,1.58
0.4,5.56,1.58
0.4,5.56,1.58
0.4,5.61,1.57
0.39,5.64,1.59
0.39,5.63,1.6
0.39,5.68,1.61
0.39,5.68,1.61
0.39,5.68,1.61
0.38,5.78,1.64
0.39,5.78,1.64
0.39,5.78,1.64
0.38,5.83,1.66
0.38,5.89,1.67
0.38,5.94,1.66
0.38,5.94,1.66
0.38,5.94,1.66
0.38,5.94,1.66
0.39,5.94,1.66
0.39,5.94,1.66
0.39,5.94,1.66
0.39,5.94,1.66
0.39,5.94,1.66
0.39,5.95,1.68
0.39,5.95,1.68
0.39,5.95,1.68
0.39,6.01,1.7
0.39,6.01,1.7
0.39,6.01,1.7
0.39,6.03,1.69
0.38,6.11,1.73
0.38,6.11,1.73
0.38,6.11,1.73
0.38,6.15,1.74
0.38,6.15,1.74
0.38,6.15,1.74
0.39,6.15,1.74
0.39,6.15,1.74
0.39,6.15,1.74
0.39,6.22,1.76
0.39,6.22,1.76
0.38,6.28,1.75
0.38,6.28,1.75
0.39,6.28,1.75
0.39,6.28,1.75
0.38,6.34,1.77
0.39,6.34,1.77
0.39,6.34,1.77
0.39,6.34,1.77
0.39,6.34,1.77
0.39,6.34,1.77
0.4,6.34,1.77
0.4,6.34,1.77
0.4,6.34,1.77
0.4,6.34,1.77
0.4,6.34,1.77
0.4,6.4,1.79
0.39,6.47,1.81
0.39,6.52,1.79
0.39,6.52,1.79
0.39,6.52,1.79
0.39,6.52,1.79
0.4,6.52,1.79
0.4,6.52,1.79
0.39,6.55,1.8
0.39,6.55,1.8
0.4,6.55,1.8
0.4,6.55,1.8
0.39,6.61,1.82
0.39,6.61,1.82
0.4,6.61,1.82
0.4,6.61,1.82
0.4,6.61,1.82
0.4,6.61,1.82
0.4,6.61,1.82
0.41,6.61,1.82
0.4,6.64,1.84
0.4,6.64,1.84
0.4,6.64,1.84
0.41,6.64,1.84
0.41,6.64,1.84
0.41,6.64,1.84
0.4,6.7,1.86
0.41,6.7,1.86
0.41,6.7,1.86
0.41,6.7,1.86
0.4,6.78,1.89
0.41,6.78,1.89
0.41,6.78,1.89
0.4,6.84,1.91
0.4,6.84,1.91
0.4,6.84,1.91
0.41,6.84,1.91
0.41,6.84,1.91
0.4,6.91,1.92
0.4,6.91,1.92
0.41,6.91,1.92
0.41,6.91,1.92
0.4,6.99,1.94
0.4,6.99,1.94
0.41,6.99,1.94
0.41,6.99,1.94
0.41,6.99,1.94
0.41,6.99,1.94
0.4,7.13,1.99
0.4,7.13,1.99
0.4,7.13,1.99
0.4,7.13,1.99
0.4,7.13,1.99
0.4,7.13,1.99
0.41,7.13,1.99
0.41,7.13,1.99
0.4,7.22,1.99
0.4,7.22,1.99
0.4,7.3,2.01
0.4,7.3,2.01
0.4,7.3,2.01
0.4,7.3,2.01
0.4,7.3,2.01
0.4,7.3,2.01
0.41,7.3,2.01
0.41,7.3,2.01
0.41,7.3,2.01
0.41,7.3,2.01
0.41,7.3,2.01
0.41,7.3,2.01
0.41,7.3,2.01
0.42,7.3,2.01
0.41,7.38,2.04
0.41,7.38,2.04
0.41,7.38,2.04
0.41,7.38,2.04
0.42,7.38,2.04
0.42,7.38,2.04
0.42,7.38,2.04
0.42,7.38,2.04
0.42,7.38,2.04
0.42,7.38,2.04
0.42,7.38,2.04
0.43,7.38,2.04
0.42,7.32,2.04
0.42,7.32,2.04
0.42,7.32,2.04
0.42,7.32,2.04
0.43,7.32,2.04
0.43,7.32,2.04
0.43,7.32,2.04
0.43,7.32,2.04
0.43,7.32,2.04
0.43,7.42,2.06
0.43,7.42,2.06
0.42,7.51,2.09
0.42,7.51,2.09
0.42,7.51,2.09
0.42,7.51,2.09
0.43,7.51,2.09
0.43,7.51,2.09
0.43,7.51,2.09
0.43,7.51,2.09
0.42,7.61,2.12
0.42,7.61,2.12
0.43,7.61,2.12
0.43,7.61,2.12
0.43,7.61,2.12
0.43,7.61,2.12
0.43,7.61,2.12
0.43,7.61,2.12
0.43,7.61,2.12
0.44,7.61,2.12
0.44,7.61,2.12
0.44,7.61,2.12
0.43,7.72,2.15
0.42,7.82,2.18
0.43,7.82,2.18
0.43,7.82,2.18
0.43,7.82,2.18
0.43,7.82,2.18
0.42,7.93,2.21
0.42,7.93,2.21
0.43,7.93,2.21
0.43,7.93,2.21
0.43,7.93,2.21
0.43,7.93,2.21
0.43,7.93,2.21
0.43,7.93,2.21
0.43,7.93,2.21
0.43,7.93,2.21
0.44,7.93,2.21
0.44,7.93,2.21
0.44,7.93,2.21
0.44,7.93,2.21
0.44,7.93,2.21
0.44,7.93,2.21
0.44,7.93,2.21
0.44,8.03,2.24
0.44,8.03,2.24
0.44,8.03,2.24
0.43,8.13,2.27
0.43,8.13,2.27
0.43,8.13,2.27
0.44,8.13,2.27
0.44,8.13,2.27
0.44,8.13,2.27
0.44,8.13,2.27
0.43,8.01,2.3
0.43,8.01,2.3
0.44,8.01,2.3
0.44,8.01,2.3
0.44,8.01,2.3
0.44,8.01,2.3
0.44,8.01,2.3
0.43,8.09,2.31
0.43,8.09,2.31
0.44,8.09,2.31
0.44,8.09,2.31
0.44,8.09,2.31
0.44,8.09,2.31
0.44,8.09,2.31
0.44,8.09,2.31
0.44,8.09,2.31
0.44,8.09,2.31
0.44,8.19,2.3
0.43,8.32,2.32
0.43,8.32,2.32
0.43,8.32,2.32
0.43,8.32,2.32
0.43,8.32,2.32
0.43,8.32,2.32
0.44,8.32,2.32
0.44,8.32,2.32
0.44,8.32,2.32
0.44,8.32,2.32
0.44,8.32,2.32
0.44,8.32,2.32
0.44,8.32,2.32
0.44,8.32,2.32
0.44,8.29,2.35
0.44,8.29,2.35
0.44,8.29,2.35
0.44,8.29,2.35
0.44,8.29,2.35
0.44,8.29,2.35
0.44,8.29,2.35
0.44,8.29,2.35
0.45,8.29,2.35
0.44,8.42,2.39
0.44,8.42,2.39
0.44,8.42,2.39
0.44,8.42,2.39
0.44,8.42,2.39
0.44,8.42,2.39
0.44,8.42,2.39
0.45,8.42,2.39
0.44,8.51,2.41
0.44,8.51,2.41
0.44,8.51,2.41
0.44,8.51,2.41
0.44,8.51,2.41
0.44,8.51,2.41
0.44,8.51,2.41
0.44,8.51,2.41
0.44,8.65,2.45
0.44,8.65,2.45
0.44,8.65,2.45
0.44,8.65,2.45
0.44,8.65,2.45
0.42,8.87,2.53
0.42,8.87,2.53
0.43,8.87,2.53
0.42,8.98,2.56
0.42,8.98,2.56
0.42,8.98,2.56
0.42,8.98,2.56
0.42,8.98,2.56
0.42,8.98,2.56
0.42,8.98,2.56
0.42,8.98,2.56
0.42,8.98,2.56
0.41,9.09,2.59
0.42,9.09,2.59
0.42,9.09,2.59
0.42,9.09,2.59
0.42,9.09,2.59
0.42,9.09,2.59
0.42,9.09,2.59
0.42,9.09,2.59
0.42,9.09,2.59
0.42,9.09,2.59
0.42,9.09,2.59
0.43,9.09,2.59
0.43,9.09,2.59
0.43,9.09,2.59
0.43,9.09,2.59
0.43,9.09,2.59
0.43,9.09,2.59
0.43,9.09,2.59
0.43,9.09,2.59
0.43,9.09,2.59
0.43,9.09,2.59
0.44,9.09,2.59
0.44,9.09,2.59
0.44,9.09,2.59
0.44,9.09,2.59
0.44,9.09,2.59
0.44,9.09,2.59
0.44,9.09,2.59
0.44,9.09,2.59
0.44,9.09,2.59
0.44,9.09,2.59
0.45,9.09,2.59
0.45,9.09,2.59
0.45,9.09,2.59
0.45,9.09,2.59
0.45,9.09,2.59
0.45,9.09,2.59
0.45,9.09,2.59
0.44,9.16,2.47
0.43,9.09,2.52
0.43,9.09,2.52
0.43,9.09,2.52
0.44,9.09,2.52
0.44,9.09,2.52
0.44,9.09,2.52
0.44,9.09,2.52
0.44,9.09,2.52
0.44,9.09,2.52
0.43,9.18,2.56
0.43,9.18,2.56
0.43,9.18,2.56
0.43,9.18,2.56
0.43,9.18,2.56
0.43,9.18,2.56
0.44,9.18,2.56
0.44,9.18,2.56
0.44,9.18,2.56
0.44,9.18,2.56
0.44,9.18,2.56
0.44,9.18,2.56
0.44,9.18,2.56
0.44,9.18,2.56
0.44,9.18,2.56
0.44,9.18,2.56
0.44,9.18,2.56
0.45,9.18,2.56
0.45,9.18,2.56
0.45,9.18,2.56
0.45,9.18,2.56
0.45,9.18,2.56
0.45,9.18,2.56
0.45,9.18,2.56
0.45,9.18,2.56
