Commit Hash,ClassQualifiedName,LOC,LCOM,CBO,WMC
50d098ce3ac74638f4f3324d66d795f78090676b,aarddict.Article,76,0,4,25
50d098ce3ac74638f4f3324d66d795f78090676b,aarddict.ArticleNotFound,6,0,0,1
50d098ce3ac74638f4f3324d66d795f78090676b,aarddict.Entry,49,0,1,10
50d098ce3ac74638f4f3324d66d795f78090676b,aarddict.EntryComparator,16,0,3,5
50d098ce3ac74638f4f3324d66d795f78090676b,aarddict.EntryComparators,12,0,2,0
50d098ce3ac74638f4f3324d66d795f78090676b,aarddict.EntryStartComparator,11,1,0,3
50d098ce3ac74638f4f3324d66d795f78090676b,aarddict.Header,80,1,4,6
50d098ce3ac74638f4f3324d66d795f78090676b,aarddict.IndexItem,4,0,0,0
50d098ce3ac74638f4f3324d66d795f78090676b,aarddict.Library,105,26,11,30
50d098ce3ac74638f4f3324d66d795f78090676b,aarddict.LookupWord,74,0,3,23
50d098ce3ac74638f4f3324d66d795f78090676b,aarddict.MatchIterator,50,2,6,12
50d098ce3ac74638f4f3324d66d795f78090676b,aarddict.Metadata,42,0,4,4
50d098ce3ac74638f4f3324d66d795f78090676b,aarddict.PreferredDictionaryComparator,22,0,2,5
50d098ce3ac74638f4f3324d66d795f78090676b,aarddict.RandomAccessFile,59,21,5,22
50d098ce3ac74638f4f3324d66d795f78090676b,aarddict.RedirectTooManyLevels,2,0,0,0
50d098ce3ac74638f4f3324d66d795f78090676b,aarddict.VerifyProgressListener,4,1,0,3
50d098ce3ac74638f4f3324d66d795f78090676b,aarddict.Volume,405,316,24,105
50d098ce3ac74638f4f3324d66d795f78090676b,aarddict.android.Article,2,0,0,0
50d098ce3ac74638f4f3324d66d795f78090676b,aarddict.android.ArticleView,38,24,4,10
50d098ce3ac74638f4f3324d66d795f78090676b,aarddict.android.ArticleViewActivity,858,879,50,196
50d098ce3ac74638f4f3324d66d795f78090676b,aarddict.android.BaseDictionaryActivity,140,32,12,26
50d098ce3ac74638f4f3324d66d795f78090676b,aarddict.android.DeviceInfo,29,0,2,4
50d098ce3ac74638f4f3324d66d795f78090676b,aarddict.android.DictionariesActivity,376,82,41,41
50d098ce3ac74638f4f3324d66d795f78090676b,aarddict.android.DictionaryInfoActivity,40,1,8,6
50d098ce3ac74638f4f3324d66d795f78090676b,aarddict.android.DictionaryService,360,79,36,76
50d098ce3ac74638f4f3324d66d795f78090676b,aarddict.android.DiscoveryProgressDialog,9,0,2,1
50d098ce3ac74638f4f3324d66d795f78090676b,aarddict.android.EinkArticleView,55,11,3,13
50d098ce3ac74638f4f3324d66d795f78090676b,aarddict.android.EinkScreen,115,0,1,24
50d098ce3ac74638f4f3324d66d795f78090676b,aarddict.android.HistoryItem,31,0,5,10
50d098ce3ac74638f4f3324d66d795f78090676b,aarddict.android.Lookup,2,0,0,0
50d098ce3ac74638f4f3324d66d795f78090676b,aarddict.android.LookupActivity,309,137,42,62
50d098ce3ac74638f4f3324d66d795f78090676b,aarddict.android.N2EpdController,75,0,4,4
50d098ce3ac74638f4f3324d66d795f78090676b,aarddict.android.OpeningProgressDialog,10,0,2,1
50d098ce3ac74638f4f3324d66d795f78090676b,aarddict.android.ScrollXY,13,1,1,5
50d098ce3ac74638f4f3324d66d795f78090676b,aarddict.android.SectionMatcher,16,3,5,6
50d098ce3ac74638f4f3324d66d795f78090676b,aarddict.android.VerifyRecord,5,0,3,0
50d098ce3ac74638f4f3324d66d795f78090676b,aarddict.TestSplitWord,77,66,2,21
f48e06b525fac8c9077c6c5f5a8f47df17a8a38d,aarddict.Article,76,0,4,25
f48e06b525fac8c9077c6c5f5a8f47df17a8a38d,aarddict.ArticleNotFound,6,0,0,1
f48e06b525fac8c9077c6c5f5a8f47df17a8a38d,aarddict.Entry,49,0,1,10
f48e06b525fac8c9077c6c5f5a8f47df17a8a38d,aarddict.EntryComparator,16,0,3,5
f48e06b525fac8c9077c6c5f5a8f47df17a8a38d,aarddict.EntryComparators,12,0,2,0
f48e06b525fac8c9077c6c5f5a8f47df17a8a38d,aarddict.EntryStartComparator,11,1,0,3
f48e06b525fac8c9077c6c5f5a8f47df17a8a38d,aarddict.Header,80,1,4,6
f48e06b525fac8c9077c6c5f5a8f47df17a8a38d,aarddict.IndexItem,4,0,0,0
