Commit Hash,ClassQualifiedName,LOC,LCOM,CBO,WMC
04c5745e5fda5ec3b802efff120cbd462e5ff6c5,org.zakky.smart_tag_app.MediaUtils,91,10,10,15
04c5745e5fda5ec3b802efff120cbd462e5ff6c5,org.zakky.smart_tag_app.SmartTagAppActivity,121,0,18,16
04c5745e5fda5ec3b802efff120cbd462e5ff6c5,org.zakky.smart_tag_app.SmartTagTask,35,4,5,8
04c5745e5fda5ec3b802efff120cbd462e5ff6c5,org.zakky.memopad.BgConfigActionProvider,112,0,7,26
04c5745e5fda5ec3b802efff120cbd462e5ff6c5,org.zakky.memopad.CanvasFragment,117,56,8,25
04c5745e5fda5ec3b802efff120cbd462e5ff6c5,org.zakky.memopad.MyDialogFragment,35,0,9,6
04c5745e5fda5ec3b802efff120cbd462e5ff6c5,org.zakky.memopad.PadActivity,179,100,15,29
04c5745e5fda5ec3b802efff120cbd462e5ff6c5,org.zakky.memopad.PaintView,265,137,26,48
04c5745e5fda5ec3b802efff120cbd462e5ff6c5,org.zakky.memopad.PenConfigActionProvider,131,0,9,32
e47c41902746e54611cdda6f102bc77d9747879e,org.zakky.smart_tag_app.MediaUtils,91,10,10,15
e47c41902746e54611cdda6f102bc77d9747879e,org.zakky.smart_tag_app.SmartTagAppActivity,121,0,18,16
e47c41902746e54611cdda6f102bc77d9747879e,org.zakky.smart_tag_app.SmartTagTask,35,4,5,8
e47c41902746e54611cdda6f102bc77d9747879e,org.zakky.memopad.BgConfigActionProvider,112,0,7,26
e47c41902746e54611cdda6f102bc77d9747879e,org.zakky.memopad.CanvasFragment,117,56,8,25
e47c41902746e54611cdda6f102bc77d9747879e,org.zakky.memopad.MyDialogFragment,35,0,9,6
e47c41902746e54611cdda6f102bc77d9747879e,org.zakky.memopad.PadActivity,179,100,15,29
e47c41902746e54611cdda6f102bc77d9747879e,org.zakky.memopad.PaintView,265,137,26,48
e47c41902746e54611cdda6f102bc77d9747879e,org.zakky.memopad.PenConfigActionProvider,131,0,9,32
b557225d6b1c1aa068ba6891ca84224fedc99f3e,org.zakky.smart_tag_app.MediaUtils,91,10,10,15
b557225d6b1c1aa068ba6891ca84224fedc99f3e,org.zakky.smart_tag_app.SmartTagAppActivity,121,0,18,16
b557225d6b1c1aa068ba6891ca84224fedc99f3e,org.zakky.smart_tag_app.SmartTagTask,35,4,5,8
b557225d6b1c1aa068ba6891ca84224fedc99f3e,org.zakky.memopad.BgConfigActionProvider,112,0,7,26
b557225d6b1c1aa068ba6891ca84224fedc99f3e,org.zakky.memopad.CanvasFragment,117,56,8,25
b557225d6b1c1aa068ba6891ca84224fedc99f3e,org.zakky.memopad.MyDialogFragment,35,0,9,6
b557225d6b1c1aa068ba6891ca84224fedc99f3e,org.zakky.memopad.PadActivity,179,100,15,29
b557225d6b1c1aa068ba6891ca84224fedc99f3e,org.zakky.memopad.PaintView,265,137,26,48
b557225d6b1c1aa068ba6891ca84224fedc99f3e,org.zakky.memopad.PenConfigActionProvider,131,0,9,32
f1c642c832811a3fc3211744ad8943a72be4ad4a,org.zakky.smart_tag_app.MediaUtils,91,10,10,15
f1c642c832811a3fc3211744ad8943a72be4ad4a,org.zakky.smart_tag_app.SmartTagAppActivity,121,0,18,16
