Commit Hash,ClassQualifiedName,LOC,LCOM,CBO,WMC
08b1494f7b58f6630540179cd63e63388699d142,de.sigfood.ApplicationTest,8,0,2,1
08b1494f7b58f6630540179cd63e63388699d142,com.buzzingandroid.tabswipe.TabSwipeActivity,95,0,14,7
08b1494f7b58f6630540179cd63e63388699d142,de.sigfood.Bewertung,6,0,1,0
08b1494f7b58f6630540179cd63e63388699d142,de.sigfood.CommentFragment,72,0,13,18
08b1494f7b58f6630540179cd63e63388699d142,de.sigfood.CommentThread,75,0,14,11
08b1494f7b58f6630540179cd63e63388699d142,de.sigfood.CustomMultiPartEntity,40,0,6,5
08b1494f7b58f6630540179cd63e63388699d142,de.sigfood.Hauptgericht,11,0,2,0
08b1494f7b58f6630540179cd63e63388699d142,de.sigfood.HttpMultipartClient,251,75,12,52
08b1494f7b58f6630540179cd63e63388699d142,de.sigfood.Kommentar,6,0,1,0
08b1494f7b58f6630540179cd63e63388699d142,de.sigfood.MealActivity,218,40,37,33
08b1494f7b58f6630540179cd63e63388699d142,de.sigfood.MealFragment,213,0,19,19
08b1494f7b58f6630540179cd63e63388699d142,de.sigfood.MensaEssen,7,0,3,0
08b1494f7b58f6630540179cd63e63388699d142,de.sigfood.PictureThread,124,0,15,10
08b1494f7b58f6630540179cd63e63388699d142,de.sigfood.RatingThread,67,0,14,11
08b1494f7b58f6630540179cd63e63388699d142,de.sigfood.SigfoodActivity,279,41,37,40
08b1494f7b58f6630540179cd63e63388699d142,de.sigfood.SigfoodApi,144,3,14,11
08b1494f7b58f6630540179cd63e63388699d142,de.sigfood.SigfoodMain,8,0,0,2
08b1494f7b58f6630540179cd63e63388699d142,de.sigfood.SigfoodSettings,17,6,3,4
08b1494f7b58f6630540179cd63e63388699d142,de.sigfood.SigfoodThread,83,0,7,10
ebacfa63c991216c88c1861aa63c88ba8773c4a9,de.sigfood.ApplicationTest,8,0,2,1
ebacfa63c991216c88c1861aa63c88ba8773c4a9,com.buzzingandroid.tabswipe.TabSwipeActivity,95,0,14,7
ebacfa63c991216c88c1861aa63c88ba8773c4a9,de.sigfood.Bewertung,6,0,1,0
ebacfa63c991216c88c1861aa63c88ba8773c4a9,de.sigfood.CommentFragment,72,0,13,18
ebacfa63c991216c88c1861aa63c88ba8773c4a9,de.sigfood.CommentThread,75,0,14,11
ebacfa63c991216c88c1861aa63c88ba8773c4a9,de.sigfood.CustomMultiPartEntity,40,0,6,5
ebacfa63c991216c88c1861aa63c88ba8773c4a9,de.sigfood.Hauptgericht,11,0,2,0
ebacfa63c991216c88c1861aa63c88ba8773c4a9,de.sigfood.HttpMultipartClient,251,75,12,52
ebacfa63c991216c88c1861aa63c88ba8773c4a9,de.sigfood.Kommentar,6,0,1,0
ebacfa63c991216c88c1861aa63c88ba8773c4a9,de.sigfood.MealActivity,218,40,37,33
ebacfa63c991216c88c1861aa63c88ba8773c4a9,de.sigfood.MealFragment,213,0,19,19
ebacfa63c991216c88c1861aa63c88ba8773c4a9,de.sigfood.MensaEssen,7,0,3,0
ebacfa63c991216c88c1861aa63c88ba8773c4a9,de.sigfood.PictureThread,124,0,15,10
ebacfa63c991216c88c1861aa63c88ba8773c4a9,de.sigfood.RatingThread,67,0,14,11
ebacfa63c991216c88c1861aa63c88ba8773c4a9,de.sigfood.SigfoodActivity,279,41,37,40
ebacfa63c991216c88c1861aa63c88ba8773c4a9,de.sigfood.SigfoodApi,144,3,14,11
ebacfa63c991216c88c1861aa63c88ba8773c4a9,de.sigfood.SigfoodMain,8,0,0,2
ebacfa63c991216c88c1861aa63c88ba8773c4a9,de.sigfood.SigfoodSettings,17,6,3,4
ebacfa63c991216c88c1861aa63c88ba8773c4a9,de.sigfood.SigfoodThread,83,0,7,10
862a7cd8e736d235d76309321eb479e5b295abee,de.sigfood.ApplicationTest,8,0,2,1
862a7cd8e736d235d76309321eb479e5b295abee,com.buzzingandroid.tabswipe.TabSwipeActivity,95,0,14,7
862a7cd8e736d235d76309321eb479e5b295abee,de.sigfood.Bewertung,6,0,1,0
862a7cd8e736d235d76309321eb479e5b295abee,de.sigfood.CommentFragment,72,0,13,18
862a7cd8e736d235d76309321eb479e5b295abee,de.sigfood.CommentThread,75,0,14,11
862a7cd8e736d235d76309321eb479e5b295abee,de.sigfood.CustomMultiPartEntity,40,0,6,5
862a7cd8e736d235d76309321eb479e5b295abee,de.sigfood.Hauptgericht,11,0,2,0
862a7cd8e736d235d76309321eb479e5b295abee,de.sigfood.HttpMultipartClient,251,75,12,52
862a7cd8e736d235d76309321eb479e5b295abee,de.sigfood.Kommentar,6,0,1,0
862a7cd8e736d235d76309321eb479e5b295abee,de.sigfood.MealActivity,218,40,37,33
862a7cd8e736d235d76309321eb479e5b295abee,de.sigfood.MealFragment,213,0,19,19
862a7cd8e736d235d76309321eb479e5b295abee,de.sigfood.MensaEssen,7,0,3,0
862a7cd8e736d235d76309321eb479e5b295abee,de.sigfood.PictureThread,124,0,15,10
862a7cd8e736d235d76309321eb479e5b295abee,de.sigfood.RatingThread,67,0,14,11
862a7cd8e736d235d76309321eb479e5b295abee,de.sigfood.SigfoodActivity,279,41,37,40
862a7cd8e736d235d76309321eb479e5b295abee,de.sigfood.SigfoodApi,144,3,14,11
862a7cd8e736d235d76309321eb479e5b295abee,de.sigfood.SigfoodMain,8,0,0,2
862a7cd8e736d235d76309321eb479e5b295abee,de.sigfood.SigfoodSettings,17,6,3,4
862a7cd8e736d235d76309321eb479e5b295abee,de.sigfood.SigfoodThread,83,0,7,10
2fef00c208554c294177a38f8a2aa10d42696166,de.sigfood.ApplicationTest,8,0,2,1
2fef00c208554c294177a38f8a2aa10d42696166,com.buzzingandroid.tabswipe.TabSwipeActivity,95,0,14,7
2fef00c208554c294177a38f8a2aa10d42696166,de.sigfood.Bewertung,6,0,1,0
2fef00c208554c294177a38f8a2aa10d42696166,de.sigfood.CommentFragment,72,0,13,18
2fef00c208554c294177a38f8a2aa10d42696166,de.sigfood.CommentThread,75,0,14,11
2fef00c208554c294177a38f8a2aa10d42696166,de.sigfood.CustomMultiPartEntity,40,0,6,5
2fef00c208554c294177a38f8a2aa10d42696166,de.sigfood.Hauptgericht,11,0,2,0
2fef00c208554c294177a38f8a2aa10d42696166,de.sigfood.HttpMultipartClient,251,75,12,52
2fef00c208554c294177a38f8a2aa10d42696166,de.sigfood.Kommentar,6,0,1,0
2fef00c208554c294177a38f8a2aa10d42696166,de.sigfood.MealActivity,218,40,37,33
2fef00c208554c294177a38f8a2aa10d42696166,de.sigfood.MealFragment,213,0,19,19
2fef00c208554c294177a38f8a2aa10d42696166,de.sigfood.MensaEssen,7,0,3,0
2fef00c208554c294177a38f8a2aa10d42696166,de.sigfood.PictureThread,124,0,15,10
2fef00c208554c294177a38f8a2aa10d42696166,de.sigfood.RatingThread,67,0,14,11
2fef00c208554c294177a38f8a2aa10d42696166,de.sigfood.SigfoodActivity,279,41,37,40
2fef00c208554c294177a38f8a2aa10d42696166,de.sigfood.SigfoodApi,144,3,14,11
2fef00c208554c294177a38f8a2aa10d42696166,de.sigfood.SigfoodMain,8,0,0,2
2fef00c208554c294177a38f8a2aa10d42696166,de.sigfood.SigfoodSettings,17,6,3,4
2fef00c208554c294177a38f8a2aa10d42696166,de.sigfood.SigfoodThread,83,0,7,10
7b0273b96f4db6f86b4728583e068ce7efdc0b97,de.sigfood.ApplicationTest,8,0,2,1
7b0273b96f4db6f86b4728583e068ce7efdc0b97,com.buzzingandroid.tabswipe.TabSwipeActivity,95,0,14,7
7b0273b96f4db6f86b4728583e068ce7efdc0b97,de.sigfood.Bewertung,6,0,1,0
7b0273b96f4db6f86b4728583e068ce7efdc0b97,de.sigfood.CommentFragment,72,0,13,18
7b0273b96f4db6f86b4728583e068ce7efdc0b97,de.sigfood.CommentThread,75,0,14,11
7b0273b96f4db6f86b4728583e068ce7efdc0b97,de.sigfood.CustomMultiPartEntity,40,0,6,5
7b0273b96f4db6f86b4728583e068ce7efdc0b97,de.sigfood.Hauptgericht,11,0,2,0
7b0273b96f4db6f86b4728583e068ce7efdc0b97,de.sigfood.HttpMultipartClient,251,75,12,52
7b0273b96f4db6f86b4728583e068ce7efdc0b97,de.sigfood.Kommentar,6,0,1,0
7b0273b96f4db6f86b4728583e068ce7efdc0b97,de.sigfood.MealActivity,218,40,37,33
7b0273b96f4db6f86b4728583e068ce7efdc0b97,de.sigfood.MealFragment,213,0,19,19
