Commit Hash,ClassQualifiedName,LOC,LCOM,CBO,WMC
86f806c4bf2ca73eaaa4fc591b980bb653423b4c,io.github.powerinside.syncplay.ApplicationTest,8,0,2,1
86f806c4bf2ca73eaaa4fc591b980bb653423b4c,io.github.powerinside.syncplay.AboutActivity,11,0,3,2
86f806c4bf2ca73eaaa4fc591b980bb653423b4c,io.github.powerinside.syncplay.AppCompatPreferenceActivity,65,120,12,20
86f806c4bf2ca73eaaa4fc591b980bb653423b4c,io.github.powerinside.syncplay.CustomMediaPlayer,30,0,1,10
86f806c4bf2ca73eaaa4fc591b980bb653423b4c,io.github.powerinside.syncplay.ExoControllerView,49,9,7,9
86f806c4bf2ca73eaaa4fc591b980bb653423b4c,io.github.powerinside.syncplay.MainActivity,71,45,30,18
86f806c4bf2ca73eaaa4fc591b980bb653423b4c,io.github.powerinside.syncplay.MediaService,264,560,43,64
86f806c4bf2ca73eaaa4fc591b980bb653423b4c,io.github.powerinside.syncplay.MediaSourceDialogFragment,76,8,12,9
86f806c4bf2ca73eaaa4fc591b980bb653423b4c,io.github.powerinside.syncplay.UserListDialogFragment,130,6,13,14
86f806c4bf2ca73eaaa4fc591b980bb653423b4c,io.github.powerinside.syncplay.VideoControllerView,501,301,22,84
86f806c4bf2ca73eaaa4fc591b980bb653423b4c,io.github.powerinside.syncplay.database.ServerListContract,14,0,1,1
86f806c4bf2ca73eaaa4fc591b980bb653423b4c,io.github.powerinside.syncplay.database.ServerListHelper,17,6,3,4
86f806c4bf2ca73eaaa4fc591b980bb653423b4c,io.github.powerinside.syncplay.privacyPolicy,11,0,3,2
86f806c4bf2ca73eaaa4fc591b980bb653423b4c,io.github.powerinside.syncplay.utils,104,15,13,20
86f806c4bf2ca73eaaa4fc591b980bb653423b4c,io.github.powerinside.syncplay.videoPlayer,495,752,64,96
86f806c4bf2ca73eaaa4fc591b980bb653423b4c,io.github.powerinside.syncplay.viewMod,4,1,0,2
86f806c4bf2ca73eaaa4fc591b980bb653423b4c,io.github.powerinside.syncplay.ExampleUnitTest,8,0,2,2
0c47b8fb7e5f9455af4f68d2f981a254fc4093ef,io.github.powerinside.syncplay.ApplicationTest,8,0,2,1
0c47b8fb7e5f9455af4f68d2f981a254fc4093ef,io.github.powerinside.syncplay.AboutActivity,11,0,3,2
0c47b8fb7e5f9455af4f68d2f981a254fc4093ef,io.github.powerinside.syncplay.AppCompatPreferenceActivity,65,120,12,20
0c47b8fb7e5f9455af4f68d2f981a254fc4093ef,io.github.powerinside.syncplay.CustomMediaPlayer,30,0,1,10
0c47b8fb7e5f9455af4f68d2f981a254fc4093ef,io.github.powerinside.syncplay.ExoControllerView,49,9,7,9
0c47b8fb7e5f9455af4f68d2f981a254fc4093ef,io.github.powerinside.syncplay.MainActivity,71,45,30,18
0c47b8fb7e5f9455af4f68d2f981a254fc4093ef,io.github.powerinside.syncplay.MediaService,264,560,43,64
0c47b8fb7e5f9455af4f68d2f981a254fc4093ef,io.github.powerinside.syncplay.MediaSourceDialogFragment,76,8,12,9
0c47b8fb7e5f9455af4f68d2f981a254fc4093ef,io.github.powerinside.syncplay.UserListDialogFragment,130,6,13,14
0c47b8fb7e5f9455af4f68d2f981a254fc4093ef,io.github.powerinside.syncplay.VideoControllerView,501,301,22,84
0c47b8fb7e5f9455af4f68d2f981a254fc4093ef,io.github.powerinside.syncplay.database.ServerListContract,14,0,1,1
0c47b8fb7e5f9455af4f68d2f981a254fc4093ef,io.github.powerinside.syncplay.database.ServerListHelper,17,6,3,4
0c47b8fb7e5f9455af4f68d2f981a254fc4093ef,io.github.powerinside.syncplay.privacyPolicy,11,0,3,2
0c47b8fb7e5f9455af4f68d2f981a254fc4093ef,io.github.powerinside.syncplay.utils,104,15,13,20
0c47b8fb7e5f9455af4f68d2f981a254fc4093ef,io.github.powerinside.syncplay.videoPlayer,495,752,64,96
0c47b8fb7e5f9455af4f68d2f981a254fc4093ef,io.github.powerinside.syncplay.viewMod,4,1,0,2
0c47b8fb7e5f9455af4f68d2f981a254fc4093ef,io.github.powerinside.syncplay.ExampleUnitTest,8,0,2,2
c91328b68be1c32ac3b561b0bd1cb7a766c8df4d,io.github.powerinside.syncplay.ApplicationTest,8,0,2,1
c91328b68be1c32ac3b561b0bd1cb7a766c8df4d,io.github.powerinside.syncplay.AboutActivity,11,0,3,2
c91328b68be1c32ac3b561b0bd1cb7a766c8df4d,io.github.powerinside.syncplay.AppCompatPreferenceActivity,65,120,12,20
c91328b68be1c32ac3b561b0bd1cb7a766c8df4d,io.github.powerinside.syncplay.CustomMediaPlayer,30,0,1,10
c91328b68be1c32ac3b561b0bd1cb7a766c8df4d,io.github.powerinside.syncplay.ExoControllerView,49,9,7,9
c91328b68be1c32ac3b561b0bd1cb7a766c8df4d,io.github.powerinside.syncplay.MainActivity,71,45,30,18
c91328b68be1c32ac3b561b0bd1cb7a766c8df4d,io.github.powerinside.syncplay.MediaService,264,560,43,64
c91328b68be1c32ac3b561b0bd1cb7a766c8df4d,io.github.powerinside.syncplay.MediaSourceDialogFragment,76,8,12,9
c91328b68be1c32ac3b561b0bd1cb7a766c8df4d,io.github.powerinside.syncplay.UserListDialogFragment,130,6,13,14
c91328b68be1c32ac3b561b0bd1cb7a766c8df4d,io.github.powerinside.syncplay.VideoControllerView,501,301,22,84
c91328b68be1c32ac3b561b0bd1cb7a766c8df4d,io.github.powerinside.syncplay.database.ServerListContract,14,0,1,1
c91328b68be1c32ac3b561b0bd1cb7a766c8df4d,io.github.powerinside.syncplay.database.ServerListHelper,17,6,3,4
c91328b68be1c32ac3b561b0bd1cb7a766c8df4d,io.github.powerinside.syncplay.privacyPolicy,11,0,3,2
c91328b68be1c32ac3b561b0bd1cb7a766c8df4d,io.github.powerinside.syncplay.utils,104,15,13,20
c91328b68be1c32ac3b561b0bd1cb7a766c8df4d,io.github.powerinside.syncplay.videoPlayer,495,752,64,96
c91328b68be1c32ac3b561b0bd1cb7a766c8df4d,io.github.powerinside.syncplay.viewMod,4,1,0,2
c91328b68be1c32ac3b561b0bd1cb7a766c8df4d,io.github.powerinside.syncplay.ExampleUnitTest,8,0,2,2
618663be7fbbed0b678e2988f2508d98f43ea767,io.github.powerinside.syncplay.ApplicationTest,8,0,2,1
618663be7fbbed0b678e2988f2508d98f43ea767,io.github.powerinside.syncplay.AboutActivity,11,0,3,2
618663be7fbbed0b678e2988f2508d98f43ea767,io.github.powerinside.syncplay.AppCompatPreferenceActivity,65,120,12,20
618663be7fbbed0b678e2988f2508d98f43ea767,io.github.powerinside.syncplay.CustomMediaPlayer,30,0,1,10
618663be7fbbed0b678e2988f2508d98f43ea767,io.github.powerinside.syncplay.ExoControllerView,49,9,7,9
618663be7fbbed0b678e2988f2508d98f43ea767,io.github.powerinside.syncplay.MainActivity,71,45,30,18
618663be7fbbed0b678e2988f2508d98f43ea767,io.github.powerinside.syncplay.MediaService,264,560,43,64
618663be7fbbed0b678e2988f2508d98f43ea767,io.github.powerinside.syncplay.MediaSourceDialogFragment,76,8,12,9
618663be7fbbed0b678e2988f2508d98f43ea767,io.github.powerinside.syncplay.UserListDialogFragment,130,6,13,14
618663be7fbbed0b678e2988f2508d98f43ea767,io.github.powerinside.syncplay.VideoControllerView,501,301,22,84
618663be7fbbed0b678e2988f2508d98f43ea767,io.github.powerinside.syncplay.database.ServerListContract,14,0,1,1
618663be7fbbed0b678e2988f2508d98f43ea767,io.github.powerinside.syncplay.database.ServerListHelper,17,6,3,4
618663be7fbbed0b678e2988f2508d98f43ea767,io.github.powerinside.syncplay.privacyPolicy,11,0,3,2
