Commit Hash,ClassQualifiedName,LOC,LCOM,CBO,WMC
11c6ea2b39be048ea89abfd52baac16208fc2713,app.varlorg.unote.ApplicationTest,8,0,2,1
11c6ea2b39be048ea89abfd52baac16208fc2713,app.varlorg.unote.CSVUtils,37,4,3,13
11c6ea2b39be048ea89abfd52baac16208fc2713,app.varlorg.unote.Note,90,86,5,37
11c6ea2b39be048ea89abfd52baac16208fc2713,app.varlorg.unote.NoteEdition,301,174,28,65
11c6ea2b39be048ea89abfd52baac16208fc2713,app.varlorg.unote.NoteMain,565,737,21,111
11c6ea2b39be048ea89abfd52baac16208fc2713,app.varlorg.unote.NotesBDD,255,0,18,53
11c6ea2b39be048ea89abfd52baac16208fc2713,app.varlorg.unote.Preference,72,10,8,15
11c6ea2b39be048ea89abfd52baac16208fc2713,app.varlorg.unote.RestoreDbActivity,181,57,22,35
11c6ea2b39be048ea89abfd52baac16208fc2713,app.varlorg.unote.SQLiteBase,22,3,4,4
11c6ea2b39be048ea89abfd52baac16208fc2713,app.varlorg.unote.ExampleUnitTest,8,0,2,2
11c6ea2b39be048ea89abfd52baac16208fc2713,app.varlorg.unote.NoteTest,84,55,6,32
e0e03f9010a959793234917479e876b312fa4d34,app.varlorg.unote.ApplicationTest,8,0,2,1
e0e03f9010a959793234917479e876b312fa4d34,app.varlorg.unote.CSVUtils,37,4,3,13
e0e03f9010a959793234917479e876b312fa4d34,app.varlorg.unote.Note,90,86,5,37
e0e03f9010a959793234917479e876b312fa4d34,app.varlorg.unote.NoteEdition,301,174,28,65
e0e03f9010a959793234917479e876b312fa4d34,app.varlorg.unote.NoteMain,565,737,21,111
e0e03f9010a959793234917479e876b312fa4d34,app.varlorg.unote.NotesBDD,255,0,18,53
e0e03f9010a959793234917479e876b312fa4d34,app.varlorg.unote.Preference,72,10,8,15
e0e03f9010a959793234917479e876b312fa4d34,app.varlorg.unote.RestoreDbActivity,181,57,22,35
e0e03f9010a959793234917479e876b312fa4d34,app.varlorg.unote.SQLiteBase,22,3,4,4
e0e03f9010a959793234917479e876b312fa4d34,app.varlorg.unote.ExampleUnitTest,8,0,2,2
e0e03f9010a959793234917479e876b312fa4d34,app.varlorg.unote.NoteTest,84,55,6,32
29034d64f42f6b12901b553716aade9ed1c922ff,app.varlorg.unote.ApplicationTest,8,0,2,1
29034d64f42f6b12901b553716aade9ed1c922ff,app.varlorg.unote.CSVUtils,37,4,3,13
29034d64f42f6b12901b553716aade9ed1c922ff,app.varlorg.unote.Note,90,86,5,37
29034d64f42f6b12901b553716aade9ed1c922ff,app.varlorg.unote.NoteEdition,301,174,28,65
29034d64f42f6b12901b553716aade9ed1c922ff,app.varlorg.unote.NoteMain,565,737,21,111
29034d64f42f6b12901b553716aade9ed1c922ff,app.varlorg.unote.NotesBDD,255,0,18,53
29034d64f42f6b12901b553716aade9ed1c922ff,app.varlorg.unote.Preference,72,10,8,15
29034d64f42f6b12901b553716aade9ed1c922ff,app.varlorg.unote.RestoreDbActivity,181,57,22,35
29034d64f42f6b12901b553716aade9ed1c922ff,app.varlorg.unote.SQLiteBase,22,3,4,4
29034d64f42f6b12901b553716aade9ed1c922ff,app.varlorg.unote.ExampleUnitTest,8,0,2,2
29034d64f42f6b12901b553716aade9ed1c922ff,app.varlorg.unote.NoteTest,84,55,6,32
1f6abf5ebaf9b9386913fa9133e1c4eeb7c1fd12,app.varlorg.unote.ApplicationTest,8,0,2,1
1f6abf5ebaf9b9386913fa9133e1c4eeb7c1fd12,app.varlorg.unote.CSVUtils,37,4,3,13
1f6abf5ebaf9b9386913fa9133e1c4eeb7c1fd12,app.varlorg.unote.Note,90,86,5,37
1f6abf5ebaf9b9386913fa9133e1c4eeb7c1fd12,app.varlorg.unote.NoteEdition,301,174,28,65
1f6abf5ebaf9b9386913fa9133e1c4eeb7c1fd12,app.varlorg.unote.NoteMain,565,737,21,111
1f6abf5ebaf9b9386913fa9133e1c4eeb7c1fd12,app.varlorg.unote.NotesBDD,255,0,18,53
1f6abf5ebaf9b9386913fa9133e1c4eeb7c1fd12,app.varlorg.unote.Preference,72,10,8,15
1f6abf5ebaf9b9386913fa9133e1c4eeb7c1fd12,app.varlorg.unote.RestoreDbActivity,181,57,22,35
1f6abf5ebaf9b9386913fa9133e1c4eeb7c1fd12,app.varlorg.unote.SQLiteBase,22,3,4,4
1f6abf5ebaf9b9386913fa9133e1c4eeb7c1fd12,app.varlorg.unote.ExampleUnitTest,8,0,2,2
1f6abf5ebaf9b9386913fa9133e1c4eeb7c1fd12,app.varlorg.unote.NoteTest,84,55,6,32
e700166b5d9eea8ad0cc959dfd60ac64c3bd6195,app.varlorg.unote.ApplicationTest,8,0,2,1
e700166b5d9eea8ad0cc959dfd60ac64c3bd6195,app.varlorg.unote.CSVUtils,37,4,3,13
e700166b5d9eea8ad0cc959dfd60ac64c3bd6195,app.varlorg.unote.Note,90,86,5,37
e700166b5d9eea8ad0cc959dfd60ac64c3bd6195,app.varlorg.unote.NoteEdition,301,174,28,65
e700166b5d9eea8ad0cc959dfd60ac64c3bd6195,app.varlorg.unote.NoteMain,565,737,21,111
e700166b5d9eea8ad0cc959dfd60ac64c3bd6195,app.varlorg.unote.NotesBDD,255,0,18,53
e700166b5d9eea8ad0cc959dfd60ac64c3bd6195,app.varlorg.unote.Preference,72,10,8,15
e700166b5d9eea8ad0cc959dfd60ac64c3bd6195,app.varlorg.unote.RestoreDbActivity,181,57,22,35
e700166b5d9eea8ad0cc959dfd60ac64c3bd6195,app.varlorg.unote.SQLiteBase,22,3,4,4
e700166b5d9eea8ad0cc959dfd60ac64c3bd6195,app.varlorg.unote.ExampleUnitTest,8,0,2,2
e700166b5d9eea8ad0cc959dfd60ac64c3bd6195,app.varlorg.unote.NoteTest,84,55,6,32
9815b0270d1c19e67918c3031167de292a8f9adb,app.varlorg.unote.ApplicationTest,8,0,2,1
9815b0270d1c19e67918c3031167de292a8f9adb,app.varlorg.unote.CSVUtils,37,4,3,13
9815b0270d1c19e67918c3031167de292a8f9adb,app.varlorg.unote.Note,90,86,5,37
9815b0270d1c19e67918c3031167de292a8f9adb,app.varlorg.unote.NoteEdition,301,174,28,65
9815b0270d1c19e67918c3031167de292a8f9adb,app.varlorg.unote.NoteMain,565,737,21,111
9815b0270d1c19e67918c3031167de292a8f9adb,app.varlorg.unote.NotesBDD,255,0,18,53
9815b0270d1c19e67918c3031167de292a8f9adb,app.varlorg.unote.Preference,72,10,8,15
9815b0270d1c19e67918c3031167de292a8f9adb,app.varlorg.unote.RestoreDbActivity,181,57,22,35
9815b0270d1c19e67918c3031167de292a8f9adb,app.varlorg.unote.SQLiteBase,22,3,4,4
9815b0270d1c19e67918c3031167de292a8f9adb,app.varlorg.unote.ExampleUnitTest,8,0,2,2
9815b0270d1c19e67918c3031167de292a8f9adb,app.varlorg.unote.NoteTest,84,55,6,32
ab13851180b1b362e0270d270a679253e59d5f52,app.varlorg.unote.ApplicationTest,8,0,2,1
ab13851180b1b362e0270d270a679253e59d5f52,app.varlorg.unote.CSVUtils,37,4,3,13
ab13851180b1b362e0270d270a679253e59d5f52,app.varlorg.unote.Note,90,86,5,37
ab13851180b1b362e0270d270a679253e59d5f52,app.varlorg.unote.NoteEdition,301,174,28,65
ab13851180b1b362e0270d270a679253e59d5f52,app.varlorg.unote.NoteMain,565,737,21,111
ab13851180b1b362e0270d270a679253e59d5f52,app.varlorg.unote.NotesBDD,255,0,18,53
ab13851180b1b362e0270d270a679253e59d5f52,app.varlorg.unote.Preference,72,10,8,15
ab13851180b1b362e0270d270a679253e59d5f52,app.varlorg.unote.RestoreDbActivity,181,57,22,35
ab13851180b1b362e0270d270a679253e59d5f52,app.varlorg.unote.SQLiteBase,22,3,4,4
ab13851180b1b362e0270d270a679253e59d5f52,app.varlorg.unote.ExampleUnitTest,8,0,2,2
ab13851180b1b362e0270d270a679253e59d5f52,app.varlorg.unote.NoteTest,84,55,6,32
968c2f11093d182516d9b5cb4f7ad3fa73af01dd,app.varlorg.unote.ApplicationTest,8,0,2,1
968c2f11093d182516d9b5cb4f7ad3fa73af01dd,app.varlorg.unote.CSVUtils,37,4,3,13
968c2f11093d182516d9b5cb4f7ad3fa73af01dd,app.varlorg.unote.Note,90,86,5,37
968c2f11093d182516d9b5cb4f7ad3fa73af01dd,app.varlorg.unote.NoteEdition,301,174,28,65
968c2f11093d182516d9b5cb4f7ad3fa73af01dd,app.varlorg.unote.NoteMain,565,737,21,111
968c2f11093d182516d9b5cb4f7ad3fa73af01dd,app.varlorg.unote.NotesBDD,255,0,18,53
968c2f11093d182516d9b5cb4f7ad3fa73af01dd,app.varlorg.unote.Preference,72,10,8,15
968c2f11093d182516d9b5cb4f7ad3fa73af01dd,app.varlorg.unote.RestoreDbActivity,181,57,22,35
968c2f11093d182516d9b5cb4f7ad3fa73af01dd,app.varlorg.unote.SQLiteBase,22,3,4,4
968c2f11093d182516d9b5cb4f7ad3fa73af01dd,app.varlorg.unote.ExampleUnitTest,8,0,2,2
968c2f11093d182516d9b5cb4f7ad3fa73af01dd,app.varlorg.unote.NoteTest,84,55,6,32
11f7f5922d42d6e11dec990fb05559f67cfb8d4d,app.varlorg.unote.ApplicationTest,8,0,2,1
11f7f5922d42d6e11dec990fb05559f67cfb8d4d,app.varlorg.unote.CSVUtils,37,4,3,13
11f7f5922d42d6e11dec990fb05559f67cfb8d4d,app.varlorg.unote.Note,90,86,5,37
11f7f5922d42d6e11dec990fb05559f67cfb8d4d,app.varlorg.unote.NoteEdition,301,174,28,65
11f7f5922d42d6e11dec990fb05559f67cfb8d4d,app.varlorg.unote.NoteMain,565,737,21,111
11f7f5922d42d6e11dec990fb05559f67cfb8d4d,app.varlorg.unote.NotesBDD,255,0,18,53
11f7f5922d42d6e11dec990fb05559f67cfb8d4d,app.varlorg.unote.Preference,72,10,8,15
11f7f5922d42d6e11dec990fb05559f67cfb8d4d,app.varlorg.unote.RestoreDbActivity,181,57,22,35
11f7f5922d42d6e11dec990fb05559f67cfb8d4d,app.varlorg.unote.SQLiteBase,22,3,4,4
11f7f5922d42d6e11dec990fb05559f67cfb8d4d,app.varlorg.unote.ExampleUnitTest,8,0,2,2
11f7f5922d42d6e11dec990fb05559f67cfb8d4d,app.varlorg.unote.NoteTest,84,55,6,32
88f2ccc30a3df3dfb02553bc3389568ba94d68c5,app.varlorg.unote.ApplicationTest,8,0,2,1
88f2ccc30a3df3dfb02553bc3389568ba94d68c5,app.varlorg.unote.CSVUtils,37,4,3,13
88f2ccc30a3df3dfb02553bc3389568ba94d68c5,app.varlorg.unote.Note,90,86,5,37
88f2ccc30a3df3dfb02553bc3389568ba94d68c5,app.varlorg.unote.NoteEdition,301,174,28,65
88f2ccc30a3df3dfb02553bc3389568ba94d68c5,app.varlorg.unote.NoteMain,565,737,21,111
88f2ccc30a3df3dfb02553bc3389568ba94d68c5,app.varlorg.unote.NotesBDD,255,0,18,53
88f2ccc30a3df3dfb02553bc3389568ba94d68c5,app.varlorg.unote.Preference,72,10,8,15
88f2ccc30a3df3dfb02553bc3389568ba94d68c5,app.varlorg.unote.RestoreDbActivity,181,57,22,35
88f2ccc30a3df3dfb02553bc3389568ba94d68c5,app.varlorg.unote.SQLiteBase,22,3,4,4
88f2ccc30a3df3dfb02553bc3389568ba94d68c5,app.varlorg.unote.ExampleUnitTest,8,0,2,2
88f2ccc30a3df3dfb02553bc3389568ba94d68c5,app.varlorg.unote.NoteTest,84,55,6,32
bbf2ea3511b141fdbef30cb1ee398fb617e770be,app.varlorg.unote.ApplicationTest,8,0,2,1
bbf2ea3511b141fdbef30cb1ee398fb617e770be,app.varlorg.unote.CSVUtils,37,4,3,13
bbf2ea3511b141fdbef30cb1ee398fb617e770be,app.varlorg.unote.Note,90,86,5,37
bbf2ea3511b141fdbef30cb1ee398fb617e770be,app.varlorg.unote.NoteEdition,301,174,28,65
bbf2ea3511b141fdbef30cb1ee398fb617e770be,app.varlorg.unote.NoteMain,565,737,21,111
bbf2ea3511b141fdbef30cb1ee398fb617e770be,app.varlorg.unote.NotesBDD,255,0,18,53
bbf2ea3511b141fdbef30cb1ee398fb617e770be,app.varlorg.unote.Preference,72,10,8,15
bbf2ea3511b141fdbef30cb1ee398fb617e770be,app.varlorg.unote.RestoreDbActivity,181,57,22,35
bbf2ea3511b141fdbef30cb1ee398fb617e770be,app.varlorg.unote.SQLiteBase,22,3,4,4
bbf2ea3511b141fdbef30cb1ee398fb617e770be,app.varlorg.unote.ExampleUnitTest,8,0,2,2
bbf2ea3511b141fdbef30cb1ee398fb617e770be,app.varlorg.unote.NoteTest,84,55,6,32
f46595e931d601bc27319120934ff11b10d05056,app.varlorg.unote.ApplicationTest,8,0,2,1
f46595e931d601bc27319120934ff11b10d05056,app.varlorg.unote.CSVUtils,37,4,3,13
f46595e931d601bc27319120934ff11b10d05056,app.varlorg.unote.Note,90,86,5,37
f46595e931d601bc27319120934ff11b10d05056,app.varlorg.unote.NoteEdition,301,174,28,65
f46595e931d601bc27319120934ff11b10d05056,app.varlorg.unote.NoteMain,565,737,21,111
f46595e931d601bc27319120934ff11b10d05056,app.varlorg.unote.NotesBDD,255,0,18,53
f46595e931d601bc27319120934ff11b10d05056,app.varlorg.unote.Preference,72,10,8,15
f46595e931d601bc27319120934ff11b10d05056,app.varlorg.unote.RestoreDbActivity,181,57,22,35
f46595e931d601bc27319120934ff11b10d05056,app.varlorg.unote.SQLiteBase,22,3,4,4
f46595e931d601bc27319120934ff11b10d05056,app.varlorg.unote.ExampleUnitTest,8,0,2,2
f46595e931d601bc27319120934ff11b10d05056,app.varlorg.unote.NoteTest,84,55,6,32
0c81734c71183f60ea409cd60c4c9c551a62fe39,app.varlorg.unote.ApplicationTest,8,0,2,1
0c81734c71183f60ea409cd60c4c9c551a62fe39,app.varlorg.unote.CSVUtils,37,4,3,13
0c81734c71183f60ea409cd60c4c9c551a62fe39,app.varlorg.unote.Note,90,86,5,37
0c81734c71183f60ea409cd60c4c9c551a62fe39,app.varlorg.unote.NoteEdition,301,174,28,65
0c81734c71183f60ea409cd60c4c9c551a62fe39,app.varlorg.unote.NoteMain,565,737,21,111
0c81734c71183f60ea409cd60c4c9c551a62fe39,app.varlorg.unote.NotesBDD,255,0,18,53
0c81734c71183f60ea409cd60c4c9c551a62fe39,app.varlorg.unote.Preference,72,10,8,15
0c81734c71183f60ea409cd60c4c9c551a62fe39,app.varlorg.unote.RestoreDbActivity,181,57,22,35
0c81734c71183f60ea409cd60c4c9c551a62fe39,app.varlorg.unote.SQLiteBase,22,3,4,4
0c81734c71183f60ea409cd60c4c9c551a62fe39,app.varlorg.unote.ExampleUnitTest,8,0,2,2
0c81734c71183f60ea409cd60c4c9c551a62fe39,app.varlorg.unote.NoteTest,84,55,6,32
74535893734c0ac4aa19b9fc771c24d4487a38e1,app.varlorg.unote.ApplicationTest,8,0,2,1
74535893734c0ac4aa19b9fc771c24d4487a38e1,app.varlorg.unote.CSVUtils,37,4,3,13
74535893734c0ac4aa19b9fc771c24d4487a38e1,app.varlorg.unote.Note,90,86,5,37
74535893734c0ac4aa19b9fc771c24d4487a38e1,app.varlorg.unote.NoteEdition,301,174,28,65
74535893734c0ac4aa19b9fc771c24d4487a38e1,app.varlorg.unote.NoteMain,565,737,21,111
74535893734c0ac4aa19b9fc771c24d4487a38e1,app.varlorg.unote.NotesBDD,255,0,18,53
74535893734c0ac4aa19b9fc771c24d4487a38e1,app.varlorg.unote.Preference,72,10,8,15
74535893734c0ac4aa19b9fc771c24d4487a38e1,app.varlorg.unote.RestoreDbActivity,181,57,22,35
74535893734c0ac4aa19b9fc771c24d4487a38e1,app.varlorg.unote.SQLiteBase,22,3,4,4
74535893734c0ac4aa19b9fc771c24d4487a38e1,app.varlorg.unote.ExampleUnitTest,8,0,2,2
74535893734c0ac4aa19b9fc771c24d4487a38e1,app.varlorg.unote.NoteTest,84,55,6,32
951689cd9f9435aad2e970b3eeb5a1fbcc81ea2e,app.varlorg.unote.ApplicationTest,8,0,2,1
951689cd9f9435aad2e970b3eeb5a1fbcc81ea2e,app.varlorg.unote.CSVUtils,37,4,3,13
951689cd9f9435aad2e970b3eeb5a1fbcc81ea2e,app.varlorg.unote.Note,90,86,5,37
951689cd9f9435aad2e970b3eeb5a1fbcc81ea2e,app.varlorg.unote.NoteEdition,301,174,28,65
951689cd9f9435aad2e970b3eeb5a1fbcc81ea2e,app.varlorg.unote.NoteMain,565,737,21,111
951689cd9f9435aad2e970b3eeb5a1fbcc81ea2e,app.varlorg.unote.NotesBDD,255,0,18,53
951689cd9f9435aad2e970b3eeb5a1fbcc81ea2e,app.varlorg.unote.Preference,72,10,8,15
951689cd9f9435aad2e970b3eeb5a1fbcc81ea2e,app.varlorg.unote.RestoreDbActivity,181,57,22,35
951689cd9f9435aad2e970b3eeb5a1fbcc81ea2e,app.varlorg.unote.SQLiteBase,22,3,4,4
951689cd9f9435aad2e970b3eeb5a1fbcc81ea2e,app.varlorg.unote.ExampleUnitTest,8,0,2,2
951689cd9f9435aad2e970b3eeb5a1fbcc81ea2e,app.varlorg.unote.NoteTest,84,55,6,32
44ac920a9f76cfea51a433b676f4da063c0858c3,app.varlorg.unote.ApplicationTest,8,0,2,1
44ac920a9f76cfea51a433b676f4da063c0858c3,app.varlorg.unote.CSVUtils,37,4,3,13
44ac920a9f76cfea51a433b676f4da063c0858c3,app.varlorg.unote.Note,90,86,5,37
44ac920a9f76cfea51a433b676f4da063c0858c3,app.varlorg.unote.NoteEdition,301,174,28,65
